;En GW;;;;;;;;;;;
Pays;Total;Nucleaire;Geothermie;Biomasse;Charbon;Eolien;Solaire;Hydro;Stockage hydro;Stockage batterie;Gaz;Fioul
FR;78.7;63.1;0;1.78;2.97;16.5;10.6;24.1;1.73;0;12.2;2.71
ES;34;7.12;0;1.19;4.83;25.9;11.8;17.1;0;0;30;0.7
PT;07.05;0;0;0.72;1.76;5.23;0.83;4.36;2.56;0;4.61;0
DE;74.4;8.11;0;8.21;43.5;69.1;52;4.78;9.81;0;29.9;4.36
AT;10.8;0;0;0.65;0.25;3.13;1.33;8.16;3.12;0;4.02;0.18
BE;11.6;5.94;0;1.17;0;0;0;0;1.31;0;6.19;0
BU;5.97;2;0;0;4.9;0.7;1.04;3.2;0;0;0.78;0
CT;2.52;0;0;0.07;0.33;0.63;0.05;1.86;0.28;0;0.74;0.94
CY;0.55;0;0;0.01;0;0.16;0.21;0;0;0;0;1.49
CZ;11.6;4.04;0;0.45;9.13;0.28;2.03;1.09;1.17;0;1.61;0
EE;1.4;0;0;0.30;1.49;0.32;0;0;0;0;0.20;0
FI;11.1;2.79;0;2.28;3.3;2.28;0;3.29;0;0;1.85;0
GR;0;0;0;0.13;6.18;2.62;1.58;2.38;0;0;6.33;1.9
HU;5.83;1.9;0;0.3;1.05;0.33;0.94;0.06;0;0;4.03;0
IE;1.48;0;0;0;0.51;0.99;0;0;0;0;1.55;0
LV;1.71;0;0;0.10;0;0.05;0;1.54;0;0;1.1;0
LT;1.76;0;0;0.12;0;0;0;0;0.9;0;1.77;0
NL;17.9;0.49;0;0.85;4.66;5.68;6.87;0;0;0;15.5;0
PL;24.7;0;0;1.51;30;6.25;2.53;0.6;1.78;0;2.81;0
RO;9.19;1.4;0;0.12;4.13;2.97;1.15;6.14;0;0;3.03;0
SK;4.08;1.94;0;0.36;1.01;0;0.53;1.62;0;0;1.09;0.19
SI;2.63;0.7;0;0.06;0.92;0;0.26;1.23;0;0;0.49;0
SE;23.4;7.8;0;0;0;9.98;0;15.9;0;0;0;0
BG;5.45;2;0;0.081;4.9;0.701;1.04;3.2;0;0;0.779;0
;;;;;;;;;;;;
Pipelines;Import du 1er pays par rapport Ã  l'autre;;; ;;;;;;;;
PT/ES;1.16;;;;;;;;;;;
ES/FR;2.8;;;;;;;;;;;
FR/BE;na;;;;;;;;;;;
FR/CH;na;;;;;;;;;;;
FR/DE;1.9;;;;;;;;;;;
FR/IT;na;;;;;;;;;;;
DE/AT;;;;;;;;;;;;
DE/NL;;;;;;;;;;;;
DE/LU;;;;;;;;;;;;
DE/PL;;;;;;;;;;;;
DE/BE;1;;;;;;;;;;;
GB/BE;1;;;;;;;;;;;
BE/NL;1.15;;;;;;;;;;;
BU/RO;0.23;;;;;;;;;;;
CZ/PL;0.84;;;;;;;;;;;
EE/FI;1;;;;;;;;;;;
EE/LV;0.27;;;;;;;;;;;
FI/SE;2;;;;;;;;;;;
HU/AT;0.74;;;;;;;;;;;
HU/HR;0.16;;;;;;;;;;;
HU/RS;01.05;;;;;;;;;;;
HU/RS;0.5;;;;;;;;;;;
HU/UA;0.65;;;;;;;;;;;
LT/LV;0.25;;;;;;;;;;;
PL/DE;0.87;;;;;;;;;;;
PL/SE;0.6;;;;;;;;;;;
PL/UA;0.23;;;;;;;;;;;
RO/RS;1.13;;;;;;;;;;;
SK/CZ;0.63;;;;;;;;;;;
SK/PL;0.48;;;;;;;;;;;
SI/IT-NO;0.17;;;;;;;;;;;
SE/NO-NO1;2.15;;;;;;;;;;;
SE/NO-NO3;0.6;;;;;;;;;;;